"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"165","2000","9","Punjab","Gurdaspur","17.78","20.25","26.34","34.54","40.42","38.65","32.48","32.33","32.1","31.77","25.7","21.06"
"165","2001","9","Punjab","Gurdaspur","17.76","23.28","28.0","32.74","39.53","37.71","32.99","32.92","31.68","31.31","25.89","20.33"
"165","2002","9","Punjab","Gurdaspur","18.06","21.61","28.49","33.92","39.9","38.81","34.8","31.86","29.38","30.2","26.12","20.45"
"165","2003","9","Punjab","Gurdaspur","17.94","21.22","26.15","33.18","36.25","39.34","33.07","31.3","31.63","30.17","24.2","20.13"
"165","2004","9","Punjab","Gurdaspur","17.49","23.87","31.02","34.83","38.32","37.01","33.58","31.56","33.04","28.17","25.76","21.28"
"165","2005","9","Punjab","Gurdaspur","16.75","19.46","27.07","32.14","35.76","39.19","32.48","33.05","31.87","29.89","25.04","19.53"
"165","2006","9","Punjab","Gurdaspur","16.96","24.68","27.07","32.96","39.73","37.3","34.08","31.0","31.33","30.39","25.3","20.39"
"165","2007","9","Punjab","Gurdaspur","18.96","22.81","26.29","35.46","37.9","38.77","33.51","32.44","31.67","29.9","26.79","19.66"
"165","2008","9","Punjab","Gurdaspur","14.96","20.49","30.04","32.34","36.65","37.95","33.22","31.43","30.93","31.07","26.26","21.9"
"165","2009","9","Punjab","Gurdaspur","19.12","23.12","27.99","32.96","38.22","38.4","33.52","33.34","31.64","30.07","24.3","20.8"
"165","2010","9","Punjab","Gurdaspur","18.69","22.64","30.88","35.5","38.23","37.71","32.91","30.95","30.53","30.67","26.82","20.32"
"165","2011","9","Punjab","Gurdaspur","16.78","21.37","27.51","31.96","39.41","38.06","33.07","31.74","31.61","30.5","27.14","20.62"
