"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"165","2000","9","Punjab","Gurdaspur","6.51","7.39","12.97","19.55","26.07","26.7","25.56","24.5","22.53","18.31","11.96","8.33"
"165","2001","9","Punjab","Gurdaspur","5.77","9.84","14.23","18.64","25.1","26.24","25.5","25.29","22.63","18.5","10.96","9.23"
"165","2002","9","Punjab","Gurdaspur","6.17","8.57","14.08","19.74","24.41","26.18","26.01","25.43","22.21","18.09","11.28","9.09"
"165","2003","9","Punjab","Gurdaspur","5.54","9.09","13.63","18.88","22.41","26.91","25.18","24.77","22.93","16.89","10.07","7.72"
"165","2004","9","Punjab","Gurdaspur","7.13","8.88","16.3","19.65","23.41","25.37","25.53","23.82","22.3","16.6","10.47","7.68"
"165","2005","9","Punjab","Gurdaspur","5.28","8.64","13.94","17.55","22.72","27.06","24.98","24.5","23.54","17.98","10.18","6.24"
"165","2006","9","Punjab","Gurdaspur","7.76","12.69","13.96","19.34","25.79","25.73","25.38","25.08","22.3","18.88","11.94","7.37"
"165","2007","9","Punjab","Gurdaspur","5.57","9.08","12.77","20.57","24.08","26.04","25.28","25.31","23.33","17.54","9.83","7.67"
"165","2008","9","Punjab","Gurdaspur","6.98","7.4","15.7","17.65","23.89","27.0","25.82","23.8","22.29","18.39","10.74","8.3"
"165","2009","9","Punjab","Gurdaspur","7.8","10.09","14.44","18.1","23.95","26.26","25.74","25.01","23.01","18.2","10.49","7.81"
"165","2010","9","Punjab","Gurdaspur","5.53","9.65","17.05","21.01","24.69","26.18","25.43","25.01","23.29","19.19","10.97","6.5"
"165","2011","9","Punjab","Gurdaspur","4.81","9.42","15.16","17.35","25.34","27.09","25.59","24.61","23.47","18.52","12.12","8.41"
"165","2012","9","Punjab","Gurdaspur","5.88","9.09","14.57","18.32","23.71","27.57","26.78","25.01","23.06","17.02","11.06","7.81"
"165","2013","9","Punjab","Gurdaspur","4.81","6.75","13.03","18.52","24.78","26.99","26.18","25.07","23.61","19.47","10.87","8.04"
"165","2014","9","Punjab","Gurdaspur","6.38","8.5","13.13","17.33","22.45","27.72","26.65","25.23","22.59","18.63","10.75","7.16"
"165","2015","9","Punjab","Gurdaspur","6.38","8.5","13.13","17.33","22.45","27.72","26.65","25.23","22.59","18.63","11.91","8.49"
"166","2000","9","Punjab","Amritsar","5.53","7.1","12.72","19.52","25.96","26.63","26.31","25.81","23.18","18.21","11.5","6.9"
"166","2001","9","Punjab","Amritsar","4.81","9.07","13.89","18.33","24.94","26.05","26.12","26.25","23.43","18.64","10.81","8.43"
"166","2002","9","Punjab","Amritsar","5.55","7.93","13.71","19.75","24.43","26.42","26.89","26.95","23.27","18.35","11.39","8.03"
"166","2003","9","Punjab","Amritsar","4.24","8.23","12.91","18.4","22.56","27.05","25.91","25.63","23.23","16.85","9.38","6.53"
"166","2004","9","Punjab","Amritsar","6.13","7.97","15.55","19.47","23.01","25.53","26.62","24.94","22.78","16.42","10.11","6.45"
"166","2005","9","Punjab","Amritsar","4.68","7.65","13.09","17.39","22.8","27.52","25.83","25.48","24.22","17.92","10.08","5.36"
"166","2006","9","Punjab","Amritsar","6.83","11.79","13.33","19.46","25.47","25.96","26.24","26.36","22.88","18.89","11.84","6.45"
"166","2007","9","Punjab","Amritsar","4.6","8.48","12.05","20.23","23.91","25.96","26.23","26.47","23.98","17.37","9.78","6.61"
"166","2008","9","Punjab","Amritsar","6.17","6.41","15.36","17.21","23.74","26.96","26.81","24.98","23.13","18.5","10.36","7.17"
"166","2009","9","Punjab","Amritsar","6.92","9.62","13.87","17.67","24.32","26.56","26.93","26.15","23.86","18.35","10.18","7.03"
"166","2010","9","Punjab","Amritsar","4.86","8.94","16.45","21.13","24.67","26.26","26.39","26.21","23.73","19.14","10.64","5.62"
"166","2011","9","Punjab","Amritsar","4.15","8.9","14.43","17.13","25.37","27.39","26.5","25.71","23.67","18.48","11.72","6.91"
"166","2012","9","Punjab","Amritsar","5.38","8.04","13.86","17.81","23.62","28.03","27.71","26.01","23.47","17.47","10.69","6.79"
"166","2013","9","Punjab","Amritsar","4.28","6.18","12.1","18.38","24.69","27.22","27.21","26.07","24.5","19.61","10.64","7.07"
"166","2014","9","Punjab","Amritsar","6.07","8.02","12.58","16.86","22.71","28.06","27.94","26.54","23.03","18.43","10.1","5.91"
"166","2015","9","Punjab","Amritsar","6.07","8.02","12.58","16.86","22.71","28.06","27.94","26.54","23.03","18.43","11.64","7.33"
"167","2000","9","Punjab","Kapurthala","5.81","7.34","12.85","19.66","25.88","26.53","26.28","25.77","23.11","18.02","11.32","6.99"
"167","2001","9","Punjab","Kapurthala","5.25","9.44","14.14","18.43","24.87","26.05","26.22","26.05","23.34","18.63","10.6","8.79"
"167","2002","9","Punjab","Kapurthala","5.65","8.3","13.65","19.96","24.32","26.51","26.67","26.94","23.24","18.42","11.2","8.3"
"167","2003","9","Punjab","Kapurthala","4.36","8.54","13.02","18.57","22.72","27.24","25.94","25.53","22.93","16.74","9.19","6.64"
"167","2004","9","Punjab","Kapurthala","6.21","8.16","15.39","19.75","23.02","25.7","26.71","24.9","22.55","16.4","9.8","6.73"
"167","2005","9","Punjab","Kapurthala","4.83","8.23","13.32","17.64","22.79","27.48","25.87","25.38","24.09","17.76","10.03","5.69"
"167","2006","9","Punjab","Kapurthala","7.32","11.93","13.44","19.77","25.36","26.0","26.31","26.48","22.78","18.9","11.88","7.04"
"167","2007","9","Punjab","Kapurthala","4.92","9.06","12.27","20.31","24.09","26.14","26.5","26.28","23.89","17.25","9.65","6.91"
"167","2008","9","Punjab","Kapurthala","6.7","6.65","15.36","17.42","23.84","26.73","26.93","25.05","23.27","18.34","10.19","7.5"
"167","2009","9","Punjab","Kapurthala","7.24","10.1","14.19","18.01","24.53","26.6","27.05","26.1","23.48","18.25","10.19","7.47"
"167","2010","9","Punjab","Kapurthala","4.81","9.19","16.44","21.34","24.78","26.57","26.49","26.27","23.6","18.9","10.53","6.01"
"167","2011","9","Punjab","Kapurthala","4.31","9.44","14.58","17.57","25.34","27.34","26.55","25.77","23.68","18.33","11.49","7.35"
"167","2012","9","Punjab","Kapurthala","5.74","8.61","14.23","18.14","23.81","28.16","27.62","25.81","23.43","17.63","10.63","7.34"
"167","2013","9","Punjab","Kapurthala","4.55","6.38","12.89","18.59","24.67","27.19","27.18","26.0","24.35","19.48","10.47","7.38"
"167","2014","9","Punjab","Kapurthala","6.29","8.42","12.84","17.32","22.71","28.03","27.84","26.3","22.9","18.34","10.53","6.52"
"167","2015","9","Punjab","Kapurthala","6.29","8.42","12.84","17.32","22.71","28.03","27.84","26.3","22.9","18.34","11.67","7.71"
"168","2000","9","Punjab","Jalandhar","5.89","7.33","12.72","19.65","25.77","26.66","26.28","25.78","23.13","17.89","11.34","6.93"
"168","2001","9","Punjab","Jalandhar","5.32","9.58","14.05","18.45","24.8","26.25","26.29","26.1","23.38","18.53","10.57","8.69"
"168","2002","9","Punjab","Jalandhar","5.6","8.43","13.5","19.96","24.31","26.7","26.65","26.96","23.21","18.3","11.16","8.26"
"168","2003","9","Punjab","Jalandhar","4.38","8.67","12.99","18.61","22.76","27.43","25.96","25.64","22.96","16.66","9.22","6.51"
"168","2004","9","Punjab","Jalandhar","6.28","8.18","15.26","19.81","23.06","25.93","26.74","24.99","22.53","16.32","9.73","6.74"
"168","2005","9","Punjab","Jalandhar","4.83","8.46","13.35","17.68","22.8","27.63","25.91","25.46","24.12","17.62","10.02","5.62"
"168","2006","9","Punjab","Jalandhar","7.53","12.06","13.39","19.78","25.31","26.2","26.34","26.57","22.78","18.76","11.89","7.02"
"168","2007","9","Punjab","Jalandhar","5.02","9.16","12.29","20.34","24.1","26.43","26.61","26.36","23.95","17.18","9.59","6.82"
"168","2008","9","Punjab","Jalandhar","6.9","6.81","15.21","17.39","23.86","26.92","26.98","25.13","23.25","18.15","10.2","7.46"
"168","2009","9","Punjab","Jalandhar","7.25","10.27","14.22","18.15","24.56","26.83","27.06","26.16","23.37","18.11","10.25","7.42"
"168","2010","9","Punjab","Jalandhar","4.7","9.31","16.32","21.39","24.8","26.79","26.57","26.38","23.65","18.73","10.52","5.98"
"168","2011","9","Punjab","Jalandhar","4.31","9.6","14.52","17.63","25.28","27.43","26.6","25.83","23.68","18.21","11.46","7.37"
"168","2012","9","Punjab","Jalandhar","5.68","8.88","14.22","18.21","23.92","28.42","27.64","25.82","23.49","17.49","10.55","7.32"
"168","2013","9","Punjab","Jalandhar","4.49","6.39","12.96","18.65","24.7","27.31","27.17","26.04","24.31","19.34","10.44","7.33"
"168","2014","9","Punjab","Jalandhar","6.27","8.52","12.82","17.41","22.69","28.15","27.81","26.34","22.88","18.2","10.57","6.45"
"168","2015","9","Punjab","Jalandhar","6.27","8.52","12.82","17.41","22.69","28.15","27.81","26.34","22.88","18.2","11.66","7.65"
"169","2000","9","Punjab","Hoshiarpur","6.41","7.26","12.76","19.7","25.74","26.46","25.78","25.01","22.86","18.11","11.85","7.74"
"169","2001","9","Punjab","Hoshiarpur","5.67","9.78","14.04","18.66","24.8","26.07","25.88","25.64","23.06","18.49","10.94","9.0"
"169","2002","9","Punjab","Hoshiarpur","6.02","8.6","13.69","19.97","24.39","26.33","26.23","26.09","22.64","18.13","11.37","8.82"
"169","2003","9","Punjab","Hoshiarpur","5.07","8.93","13.32","18.93","22.7","27.02","25.48","25.2","23.0","16.77","9.83","7.1"
"169","2004","9","Punjab","Hoshiarpur","6.9","8.46","15.8","19.95","23.33","25.46","26.05","24.32","22.39","16.52","10.24","7.39"
"169","2005","9","Punjab","Hoshiarpur","5.23","8.67","13.7","17.78","22.8","27.26","25.34","24.92","23.81","17.71","10.27","6.05"
"169","2006","9","Punjab","Hoshiarpur","7.93","12.58","13.67","19.64","25.46","25.89","25.67","25.76","22.57","18.78","12.05","7.31"
